债券募集说明书名称,公告发布日,半透明小字
亚夏汽车：公开发行2012年公司债券募集说明书,2012-11-15,1-1-1 芜湖亚夏汽车股份有限公司 住所：芜湖市鸠江区弋江北路花塘村 公开发行2012年公司债券 募集说明书 保荐人（主承销商） 住所：北京市西城区金融大街35号2-6层 募集说明书签署日期：201
露笑科技：公开发行公司债券募集说明书,2012-11-12,"股票简称：露笑科技 股票代码：002617 露笑科技股份有限公司 Roshow Technology Co., Ltd. （浙江省诸暨市店口镇露笑路38号） 公开发行公司债券募集说明书 保荐人（主承销"
辽通化工：公开发行公司债券募集说明书,2012-11-07,辽通化工公开发行公司债券申请文件 募集说明书 1-1-1 声 明 一、本募集说明书的全部内容遵循《中华人民共和国公司法》、《中华人民共 和国证券法》、《公司债券发行试点办法》和《公开发行证券的公司信息
华西能源：公开发行2012年公司债券募集说明书,2012-11-01,华西能源工业股份有限公司 （四川省自贡市高新工业园区荣川路 66 号） 公开发行 2012 年公司债券募集说明书 保荐机构（主承销商） 募集说明书签署日：二〇一二年十一月一日 华西能源工业股份有限公司
建峰化工：公开发行2012年公司债券募集说明书,2012-10-31,"重庆建峰化工股份有限公司 公司债券募集说明书 股票简称：建峰化工 股票代码：000950 重庆建峰化工股份有限公司 CHONGQING JIAN FENG CHEMICAL CO., LTD （重庆市"
恒邦股份：公开发行公司债券募集说明书,2012-10-27,股票简称：恒邦股份 股票代码：002237 山东恒邦冶炼股份有限公司 （烟台市牟平区水道镇） 公开发行公司债券募集说明书 保荐人/主承销商： （江西省南昌市红谷滩新区红谷中大道 1619 号 南昌国际
海翔药业：2012年公开发行公司债券募集说明书,2012-10-29,浙江海翔药业股份有限公司 2012 年公开发行公司债券募集说明书 1-1-0 浙江海翔药业股份有限公司 （注册地址：浙江省台州市椒江区外沙支路 100 号） 2012 年公开发行公司债券 募集说明书 
中山公用：公开发行2012年（第一期）公司债券募集说明书,2012-10-25,1-1-1 股票简称：中山公用 股票代码：000685 中山公用事业集团股份有限公司 公开发行 2012年(第一期)公司债券 募集说明书 注册地址：广东省中山市兴中道 18 号财兴大厦北座 联席保荐人
景兴纸业：公开发行公司债券募集说明书,2012-10-23,"股票简称：景兴纸业 股票代码：002067 浙江景兴纸业股份有限公司 Zhejiang Jingxing Paper Joint Stock Co.,Ltd. （住所：浙江省平湖市曹桥镇） 公开发行公"
联发股份：公开发行公司债券募集说明书,2012-10-23,"  股票简称：联发股份 股票代码：002394 江苏联发纺织股份有限公司 Jiangsu lianfa textile Co., Ltd. （江苏省海安县城东镇恒联路 88 号） 公开发行公司债券募集"
闽福发Ａ：公开发行公司债券募集说明书,2012-10-15,"股票简称：闽福发 A 股票代码：000547 神州学人集团股份有限公司 CHINA SCHOLARS GROUP CO., LTD （注册地址：福州市台江区五一南路 67 号） 公开发行公司债券募集说"
中泰桥梁：公开发行2012年公司债券募集说明书,2012-10-11,江苏中泰桥梁钢构股份有限公司 公开发行公司债券募集说明书 1-1-1 股票简称：中泰桥梁 股票代码：002659 江苏中泰桥梁钢构股份有限公司 （住所：江苏省江阴-靖江工业园区同康路 15 号） 公开
冀东水泥：公开发行2012年公司债券募集说明书,2012-10-11,股票简称：冀东水泥 股票代码：000401 唐山冀东水泥股份有限公司 （住所：唐山市丰润区林荫路） 公开发行 2012 年公司债券 募集说明书 保荐人/主承销商 （住所：广东省深圳市福田区金田路大中华
科伦药业：公开发行2012年公司债券募集说明书（第二期）,2013-03-04,"四川科伦药业股份有限公司 SichuanKelunPharmaceuticalCo.,Ltd. 四川省成都市新都卫星城工业开发区南二路 公开发行2012年公司债券募集说明书 （第二期） 保荐机构（主承"
东方锆业：公开发行2012年公司债券募集说明书,2012-09-27,股票简称：东方锆业 股票代码：002167 广东东方锆业科技股份有限公司 （住所：广东省汕头市澄海区莱美路宇田科技园） 公开发行 2012 年公司债券募集说明书 保荐人/债券受托管理人/联席主承销商 
南宁糖业：2012年公开发行公司债券募集说明书,2012-09-13,南南宁宁糖糖业业股股份份有有限限公公司司 （（注注册册地地址址：：广广西西壮壮族族自自治治区区南南宁宁市市亭亭洪洪路路 4488 号号）） 22001122 年年公公开开发发行行公公司司债债券券募募集
舜天船舶：公开发行公司债券募集说明书,2012-09-14,江苏舜天船舶股份有限公司 SSaaiinnttyy MMaarriinnee CCoorrppoorraattiioonn LLttdd.. （住所：南京市雨花台区软件大道 21 号） 公开发行公司债
云内动力：公开发行公司债券募集说明书,2012-08-23,昆明云内动力股份有限公司公开发行公司债券募集说明书 1-1-1 声 明 本公司全体董事、监事、高级管理人员承诺本募集说明书及其摘要不存在 任何虚假、误导性陈述或重大遗漏，并保证所披露信息的真实、准确、
大康牧业：公开发行公司债券募集说明书,2012-08-21,"股票代码：002505 股票简称：大康牧业 湖南大康牧业股份有限公司 HUNAN DAKANG PASTURE FARMING CO.,LTD. （湖南省怀化市鹤城区鸭嘴岩工业园 3 栋） 公开发行公"
海螺型材：公开发行2012年公司债券募集说明书,2012-08-15,股票简称：海螺型材 股票代码：000619 芜湖海螺型材科技股份有限公司 （安徽省芜湖市经济技术开发区） 公开发行 2012 年公司债券 募集说明书 （修订稿） 保荐人/主承销商： （上海市浦东新区商
盾安环境：2012年公开发行公司债券募集说明书,2012-07-25,证券代码：002011 证券简称：盾安环境 浙浙江江盾盾安安人人工工环环境境股股份份有有限限公公司司 （浙江省诸暨市店口工业区） 22001122 年年公公开开发发行行公公司司债债券券募募集集说说明明
亚厦股份：公开发行2012年公司债券募集说明书,2012-07-11,股票简称：亚厦股份 股票代码：002375 浙江亚厦装饰股份有限公司 （住所：浙江省上虞市章镇工业新区） 公开发行 2012 年公司债券 募集说明书 保荐人、主承销商、债券受托管理人： 中信证券股份有
国创高新：公开发行公司债券募集说明书,2012-07-06,"股票简称：国创高新 股票代码：002377 湖北国创高新材料股份有限公司 Hubei Guochuang Hi-tech Material Co.,Ltd （武汉市东湖开发区华光大道 18号） 公开发"
康盛股份：公开发行公司债券募集说明书,2012-07-03,股票简称：康盛股份 股票代码：002418 浙江康盛股份有限公司 ZHEJIANG KANGSHENG CO.，LTD （注册地址：浙江省淳安县坪山工业园 1幢） 公开发行公司债券募集说明书 保荐人（
中利科技：公开发行公司债券募集说明书,2012-06-18,"1-1-1 中利科技集团股份有限公司 （Zhongli Science And Technology Group Co., Ltd.） （江苏省常熟市东南经济开发区） 公开发行公司债券募集说明书 保荐"
海南海药：公开发行公司债券募集说明书,2012-06-12,股票简称：海南海药 股票代码：000566 海南海药股份有限公司 （海南省海口市秀英区南海大道西66号） 公开发行公司债券募集说明书 保荐人（主承销商） 广州市天河北路 183-187号大都会广场 4
中兴通讯：公开发行2012年公司债券募集说明书（第一期）,2012-06-11,1 股票简称：中兴通讯 股票代码：000063（A 股）、763（H 股） 中兴通讯股份有限公司 （住所：深圳市南山区高新技术产业园科技南路中兴通讯大厦） 公开发行 2012 年公司债券 募集说明书 
富春环保：公开发行公司债券募集说明书,2012-06-01,股票简称：富春环保 股票代码：002479 浙江富春江环保热电股份有限公司 (浙江省富阳市灵桥镇春永路 188号) 公开发行公司债券募集说明书 保荐人（主承销商） 中国中投证券有限责任公司 (深圳市福
辰州矿业：公开发行公司债券募集说明书（第一期）,2012-11-05,1-1-1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行试点办法》、《公开发行证券的公司信息披露内容与格式准则第 23 号——公开发行公司债券募集说明书
科伦药业：公开发行2012年公司债券募集说明书（第一期）,2012-11-01,"四川科伦药业股份有限公司 SichuanKelunPharmaceuticalCo.,Ltd. 四川省成都市新都卫星城工业开发区南二路 公开发行2012年公司债券募集说明书 （第一期） 保荐机构（主承"
万 家 乐：公开发行公司债券募集说明书,2012-05-11,广东万家乐股份有限公司 公开发行公司债券募集说明书 1-1-2 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行试点办法》、《公开发行证券的公司信息披露内容
国星光电：公开发行2011年公司债券募集说明书,2012-04-27,股票简称：国星光电 股票代码：002449 佛山市国星光电股份有限公司 （广东省佛山市禅城区华宝南路 18 号） 公开发行公司债券募集说明书 （申报稿） 保荐人（主承销商） 广州市天河北路 183-1
长安汽车：公开发行公司债券募集说明书,2012-04-19,"重庆长安汽车股份有限公司 CHONGQING CHANGAN ATUOMOBILE CO., LTD. （重庆市江北区建新东路 260 号） 公开发行公司债券募集说明书 股票简称：长安汽车、长安 B "
万向钱潮：公开发行公司债券募集说明书,2012-04-23,（注册地址：浙江省杭州市萧山区万向路） 公开发行公司债券 募集说明书 保荐机构（主承销商、债券受托管理人） （住所：北京市西城区金融大街 35 号国际企业大厦 C 座） 签署日期: 年 月 日 万向钱
张化机：2012年公开发行公司债券募集说明书,2012-04-13,张家港化工机械股份有限公司公开发行公司债券申请文件 募集说明书 1-1-1 张家港化工机械股份有限公司 （注册地址：江苏省苏州张家港市金港镇后塍澄杨路 20 号） 2012 年公开发行公司债券募集说明
华茂股份：公开发行公司债券募集说明书,2012-04-10,1 股票代码：000850 股票简称：华茂股份 安徽华茂纺织股份有限公司 （注册地址：安徽省安庆市纺织南路 80 号） 公开发行公司债券募集说明书 （封 卷 稿） 保荐人（主承销商） （北京市西城区武
雅致股份：公开发行公司债券募集说明书,2012-04-06,"1-1-0 雅致集成房屋股份有限公司 YAHGEE MODULAR HOUSE CO., LTD. （住所：深圳市南山区高新技术产业园区南区 高新南十二路 007 号九洲电器大厦五楼 A 室） 公开发"
湘鄂情：公开发行公司债券募集说明书,2012-03-29,北京湘鄂情股份有限公司 公开发行公司债券募集说明书 股票简称：湘鄂情 股票代码：002306 北京湘鄂情股份有限公司 北京市海淀区定慧寺甲2号一层、二层 公开发行公司债券募集说明书 保荐人（主承销商）
智光电气：公开发行公司债券募集说明书,2012-03-21,股票简称：智光电气 股票代码：002169 广州智光电气股份有限公司 （住所：广东省广州市黄埔区云埔工业区埔南路 51 号） 公开发行公司债券募集说明书 （上会稿） 保荐人（主承销商） （住所：广州市
明牌珠宝：公开发行2012年公司债券募集说明书,2012-03-20,"股票简称：明牌珠宝 股票代码：002574 浙江明牌珠宝股份有限公司 Zhejiang Ming Jewelry Co., Ltd. （住所：浙江省绍兴县福全工业区） 公开发行 2012 年公司债券 "
棕榈园林：公开发行公司债券募集说明书,2012-03-19,股票简称：棕榈园林 股票代码：002431 棕榈园林股份有限公司 （住所：中山市小榄镇新华中路 120 号向明大厦 11C） 公开发行公司债券募集说明书 （封卷稿） 保荐人/主承销商 （住所：广东省深
西部建设：公开发行公司债券募集说明书,2012-03-13,1-1-1 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行试点办法》、《公开发行证券的公司信息披露内容与格式准则第 23号——公开发行公司债券募集说明书》及
隆平高科：公开发行2012年公司债券募集说明书,2012-03-12,袁隆平农业高科技股份有限公司 公开发行公司债券募集说明书 1-1-1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行试点办法》、《公开发行证券的公司信息披
常山股份：公开发行公司债券募集说明书,2012-03-09,股票简称：常山股份 股票代码：000158 石家庄常山纺织股份有限公司 (河北省石家庄市和平东路 183 号) 公开发行公司债券募集说明书 保荐人（主承销商） （深圳市福田区金田路大中华国际交易广场 
新都化工：公开发行2012年公司债券募集说明书,2012-03-06,成都市新都化工股份有限公司公开发行 2012 年公司债券 债券募集说明书 1-1-1 成都市新都化工股份有限公司 （注册地址：四川省成都市新都工业开发区南二路） 公开发行 2012 年公司债券募集说明
超日太阳：公开发行公司债券募集说明书,2012-03-05,股票简称：超日太阳 股票代码：002506 上海超日太阳能科技股份有限公司 （上海市奉贤区南桥镇江海经济园区） 公开发行公司债券募集说明书 （封卷稿） 保荐机构（主承销商） （北京市朝阳区安立路 66
联化科技：公开发行2011年公司债券募集说明书,2012-02-17,"联化科技股份有限公司 公司债券募集说明书 1-1- 0 证券简称：联化科技 证券代码：002250 联化科技股份有限公司 LIANHE CHEMICAL TECHNOLOGY CO., LTD. 浙江"
横店东磁：公开发行2011年公司债券募集说明书,2012-02-07,"横店集团东磁股份有限公司 公司债券募集说明书 1-3-1 股票简称：横店东磁 股票代码：002056 横店集团东磁股份有限公司 Hengdian Group DMEGC Magnetics Co.,L"
远兴能源：公开发行2011年公司债券募集说明书,2012-01-13,股票简称：远兴能源 股票代码：000683 内蒙古远兴能源股份有限公司 公开发行 2011201120112011年公司债券募集说明书 （封卷稿） 发行人 内蒙古远兴能源股份有限公司 （住所：鄂尔多斯
湖北能源：公开发行公司债券募集说明书,2011-12-15,2 声 明 公司全体董事、监事、高级管理人员承诺本募集说明书及其摘要不存在任何 虚假记载、误导性陈述或重大遗漏，并保证所披露信息的真实、准确、完整。 公司负责人和主管会计工作的负责人、会计机构负责人保
新筑股份：公开发行公司债券募集说明书,2011-12-05,成都市新筑路桥机械股份有限公司 公开发行公司债券募集说明书 1-1-0 股票简称：新筑股份 股票代码：002480 成都市新筑路桥机械股份有限公司 成都市四川新津工业园区 公开发行公司债券募集说明书 
许继电气：公开发行2011年公司债券募集说明书,2011-11-28,"许继电气股份有限公司公开发行 2011年公司债券申请文件 募集说明书 1-1-1-0 许继电气股份有限公司 XXJJ EEll ee cc tt rr ii cc CCoo .. ,, LLttdd "
报 喜 鸟：公开发行公司债券募集说明书,2011-11-22,浙江报喜鸟服饰股份有限公司 （注册地址：浙江省永嘉县瓯北镇报喜鸟工业区） 公开发行公司债券募集说明书 保荐人（主承销商） （注册地址：南昌市抚河北路291号） 签署日： 年 月 日 1-3-1 声 明
凯迪电力：公开发行公司债券募集说明书,2011-11-17,"股票简称：凯迪电力 股票代码：000939 武汉凯迪电力股份有限公司 WUHAN KAIDI ELECTRIC POWER CO., LTD. （注册地址：武汉市东湖新技术开发区江夏大道特 1号凯迪大"
海大集团：公开发行公司债券募集说明书,2011-11-16,"1—1—1 股票简称：海大集团 股票代码：002311 广东海大集团股份有限公司 Guangdong Haid Group Co.,Limited （注册地址：广州市天河区天河北路890号国际科贸大厦"
华孚色纺：公开发行公司债券募集说明书,2011-11-16,华孚色纺股份有限公司 公开发行公司债券募集说明书 华孚色纺股份有限公司华孚色纺股份有限公司 （注册地址：安徽省淮北市濉溪路庆相桥） 公开发行公司债券募集说明书 保荐机构（主承销商） 华泰联合证券有限责
宗申动力：2011年公开发行公司债券募集说明书,2011-11-10,重庆宗申动力机械股份有限公司公开发行公司债券申请文件 募集说明书 1-1-0 重庆宗申动力机械股份有限公司公开发行公司债券申请文件 募集说明书 1-1-1 声 明 本募集说明书的全部内容遵循《中华人民
太钢不锈：2012年公司公开发行公司债券募集说明书（第一期）,2012-04-16,1 发行人声明 本募集说明书及其摘要的全部内容遵循《中华人民共和国公司法》、《中华人民 共和国证券法》、《公司债券发行试点办法》及其他现行法律、法规的规定。本公司 及全体董事、监事、高级管理人员承诺募
东莞控股：公开发行公司债券募集说明书,2011-09-20,东莞发展控股股份有限公司 公开发行公司债券募集说明书 1 股票简称：东莞控股 股票代码：000828 东莞发展控股股份有限公司 （广东省东莞市南城区科技工业园科技路 39 号） 公开发行公司债券募集说
金风科技：2012年公开发行公司债券募集说明书（第一期）,2012-02-21,股票代码：002202 股票简称：金风科技 新疆金风科技股份有限公司 （住所：新疆乌鲁木齐市经济技术开发区上海路 107 号） 2012 年公开发行公司债券募集说明书 （第一期） 保荐人、联席主承销商
建投能源：公开发行2011年公司债券募集说明书,2011-08-25,1-1-1 河北建投能源投资股份有限公司 住所：石家庄市裕华西路9号 公开发行2011年公司债券 募集说明书 保荐人（主承销商） 住所：北京市西城区金融大街35号2-6层 募集说明书签署日期：2011
黔轮胎Ａ：公开发行公司债券募集说明书,2011-08-18,"股票简称：黔轮胎A 股票代码：000589 贵州轮胎股份有限公司 GUIZHOU TYRE CO. , LTD. （贵州省贵阳市百花大道 41 号） 公开发行公司债券募集说明书 保荐人（主承销商）/债"
锡业股份：公开发行公司债券募集说明书,2011-08-15,云南锡业股份有限公司 （注册地址：云南省昆明市高新技术产业开发区） 公开发行公司债券募集说明书 保荐人/联合主承销商/债券受托管理人 注册地址:深圳市红岭中路 1012号国信证券大厦 16层-26层 
焦作万方：公开发行公司债券募集说明书,2011-08-10,股票简称：焦作万方 股票代码：000612 焦作万方铝业股份有限公司 （注册地址：河南省焦作市塔南路 160 号） 公开发行公司债券募集说明书 （封卷稿） 保荐人（主承销商）： （住所：上海市浦东新区
国脉科技：公开发行公司债券募集说明书,2011-07-22,国脉科技股份有限公司 公开发行公司债券募集说明书 1-1-1 国脉科技股份有限公司 公开发行公司债券募集说明书 1-1-2 重要声明 一、本公司全体董事、监事、高级管理人员承诺本募集说明书及其摘要不存
陕天然气：公开发行2011年公司债券募集说明书（发行稿）,2011-07-20,（西安市经济技术开发区 A1 区） 公开发行 2011 年公司债券 募集说明书 （发行稿） 保荐人/主承销商 中信证券股份有限公司 （广东省深圳市深南大道 7088 号招商银行大厦第 A 层） 二〇一
巨轮股份：公开发行可转换公司债券募集说明书,2011-07-15,广东巨轮模具股份有限公司发行可转换公司债券申请文件 募集说明书 股票简称：巨轮股份 股票代码：002031 广东省揭东经济开发区 5 号路中段 公开发行可转换公司债券 募集说明书 保荐机构（主承销商）
深圳机场：公开发行可转换公司债券募集说明书,2011-07-13,深圳机场公开发行可转换公司债券申请文件 募集说明书 1-1-1 股票简称：深圳机场 股票代码 ：000089 深圳市机场股份有限公司 （注册地址：深圳市宝安区宝安机场第一办公楼三、四层） 公开发行可转
鲁西化工：公开发行2011年公司债券募集说明书,2011-07-04,股票简称：鲁西化工 股票代码：000830 鲁西化工集团股份有限公司 （山东省聊城市鲁化路 68 号） 公开发行 2011 年公司债券 募集说明书 保荐人/主承销商： （上海市常熟路 171 号） 募
晨鸣纸业：公开发行2011年公司债券募集说明书,2011-07-04,1-1-1 A 股 股票简称：晨鸣纸业 股票代码：000488 B 股 股票简称：晨鸣 B 股票代码：200488 H 股 股票简称：晨鸣纸业 股票代码：1812 住所：山东省寿光市圣城街 595 号
中鼎股份：可转换公司债券募集说明书,2011-02-09,"股票简称： 中鼎股份 股票代码：000887 安徽中鼎密封件股份有限公司 ANHUI ZHONGDING SEALING PARTS CO.,LTD. （宣城市宣南公路口） 可转换公司债券募集说明书 "
软控股份：2011年公开发行公司债券募集说明书,2011-05-31,软控股份有限公司 公司债券募集说明书 1-1-1 软控股份有限公司 2011 年公开发行公司债券 募集说明书 软控股份有限公司 （注册地址：青岛保税区纽约路 2 号） 保荐人（主承销商） （注册地址：
冀中能源：公开发行公司债券募集说明书,2011-04-30,冀中能源股份有限公司公开发行公司债券募集说明书 0 股票简称：冀中能源 股票代码：000937 冀中能源股份有限公司 住所：河北省邢台市中兴西大街 191 号 公开发行公司债券募集说明书 保荐人（主承
新兴铸管：公开发行2011年公司债券募集说明书,2011-03-16,1-1-0 股票简称：新兴铸管 股票代码：000778 住所：武安市上洛阳村北 公开发行2 011年公司债券 募集说明书 保荐人、主承销商 簿记管理人、债券受托管理人 募集说明书签署日期： 年 月 日
珠海港：公开发行公司债券募集说明书,2011-02-25,珠海港股份有限公司公司债募集说明书 1-1-2-0 珠海港股份有限公司公司债募集说明书 1-1-2-1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行试点
煤 气 化：公开发行公司债券募集说明书,2010-11-02,"太原煤气化股份有限公司公开发行公司债券申请文件 募集说明书 1-1-0 股票代码：000968 股票简称：煤气化 太原煤气化股份有限公司 Taiyuan Coal Gasification Co., "
铜陵有色：可转换公司债券募集说明书,2010-07-13,"证券简称：铜陵有色 证券代码：000630 陵有色金 集 股 有限公司铜 属 团 份 Tongling Nonferrous Metals Group Co.,Ltd. （住所：安徽省铜陵市长江西路）"
南  玻Ａ：公开发行公司债券募集说明书,2010-10-18,"证券代码：000012；200012 证券简称：南玻 A；南玻 B 中国南玻集团股份有限公司 CSG Holding Co.,Ltd. （住所：广东省深圳蛇口工业六路一号南玻大厦） 公开发行公司债券募"
燕京啤酒：公开发行可转换公司债券募集说明书,2010-10-13,"股票简称：燕京啤酒 股票代码：000729 北京燕京啤酒股份有限公司 Beijing Yanjing Brewery CO.,LTD. （住所：北京市顺义区双河路 9 号） 公开发行可转换公司债券 募"
四川美丰：可转换公司债券募集说明书,2010-05-31,四川美丰化工股份有限公司 募集说明书 I 股票简称：四川美丰 股票代码：000731 四川美丰化工股份有限公 （注册地址：四川省射洪县太和镇新阳街 87 号） 可转换公司债券募集说明书 保荐人（主承销
10佳城投：公司债券募集说明书,2010-03-05,2010年 佳木斯市新时代城市基础设施 建设投资 (集团)有 限公司 公司债券募集说明书 佳木斯市 建设投 主承销商 安搐铤弊股份甯眼公司 Es$ence secur:t:es CoⅡ L`td。 ⒛
塔牌集团：发行可转换公司债券募集说明书（封卷稿）,2010-08-24,"塔牌集团可转债申请文件 募集说明书（封卷稿） 1-1-1 广东塔牌集团股份有限公司 Guangdong Tapai Group Co., Ltd 发行可转换公司债券募集说明书 （封卷稿） 股票简称：塔"
大亚科技：公开发行公司债券募集说明书,2010-01-27,声 明 本募集说明书的全部内容遵循《中华人民共和国公司法》、《中华人民共和国证券 法》、《公司债券发行试点办法》及其它现行法律、法规的规定。发行人全体董事、监事 及高管人员承诺本募集说明书及其摘要不存
安泰科技：可转换公司债券募集说明书,2009-09-14,"1 股票简称：安泰科技 股票代码：000969 安泰科技股份有限公司 Advanced Technology & Materials Co., Ltd. 可转换公司债券募集说明书 保荐机构（主承销商）"
湖北宜化：公开发行公司债券募集说明书,2009-12-14,湖北宜化 公开发行公司债券募集说明书 1-1-1 股票简称：湖北宜化 股票代码：000422 湖湖北北宜宜化化化化工工股股份份有有限限公公司司 （注册地址：宜昌市猇亭区） 公开发行公司债券募集说明书 
新 希 望：公开发行公司债券募集说明书（封卷稿）,2009-11-23,1-1 新希望公开发行公司债券募集说明书 1-1-1 股票简称：新希望 股票代码：000876 四川新希望农业股份有限公司 （住所：四川省绵阳市国家高新技术产业开发区） 公开发行公司债券募集说明书 （
津滨发展：公开发行公司债券募集说明书,2009-11-19,天津津滨发展股份有限公司 2008 年发行公司债券申请文件 募集说明书 1-1-0 证券代码：000897 证券简称：津滨发展 天天津津津津滨滨发发展展股股份份有有限限公公司司 TTIIAANNJJI
泛海建设：公开发行公司债券募集说明书,2009-11-11,股票简称：泛海建设 股票代码：000046 泛海建设集团股份有限公司 （注册地址：深圳市福田区福华一路深圳国际商会大厦 A 座十六楼） 公开发行公司债券募集说明书 保荐机构（主承销商） （注册地址：北
宏润建设：公开发行公司债券募集说明书,2009-11-10,"公司债券募集说明书 1-1-1 HONGRUN CONSTRUCTION GROUP CO., LTD. 住 所： 浙江省象山县丹城镇建设东路 262 号 公开发行公司债券募集说明书 保荐人（主承销商"
银基发展：公开发行公司债券募集说明书,2009-11-03,A 股股票代码： 000511 A 股股票简称： 银基发展 保荐机构（主承销商）：德邦证券有限责任公司 （上海市福山路 500 号城建国际中心 26 楼） 二零零九年十一月三日 第一章 本次公司债券发
名流置业：公开发行公司债券募集说明书,2009-10-30,名流置业公司债券募集说明书 0 股票代码：000667 股票简称：名流置业 名流置业集团股份有限公司 （注册地址：昆明市国防路 129号恒安写字楼五楼） 公开发行公司债券募集说明书 保荐人（主承销商）
东北制药：公开发行公司债券募集说明书,2009-10-29,东北制药公开发行公司债募集说明书 3-1-1 声 明 本公司全体董事、监事、高级管理人员承诺募集说明书及其摘要不存在任何 虚假记载、误导性陈述或重大遗漏，并保证所披露信息的真实、准确、完整。 本公司负
亿城股份：公开发行公司债券募集说明书（封卷稿）,2009-10-28,亿城股份公开发行公司债券申请文件 公司债券募集说明书 1-1-0 亿亿城城集集团团股股份份有有限限公公司司 公公开开发发行行公公司司债债券券募募集集说说明明书书 （（封封卷卷稿稿）） 保荐人（主承销商
西山煤电：公开发行公司债券募集说明书,2009-10-15,"0 山西西山煤电股份有限公司 SHANXI XISHAN COAL AND ELECTRICITY POWER CO.,LTD. 住所：太原市西矿街 318 号西山大厦 公开发行公司债券募集说明书 股"
粤高速Ａ：公开发行公司债券募集说明书,2009-09-17,"1 股票简称：粤高速A/粤高速B 股票代码：000429/200429 广东省高速公路发展股份有限公司 Guangdong Provincial Expressway Development Co.,"
09怀化债：公司债券募集说明书,2009-02-17,2009 年怀化市城市建设投资有限公司 公司债券募集说明书 发行人 怀化市城市建设投资有限公司 主承销商 恒泰证券股份有限公司 二ＯＯ九年二月 2009年怀化市城市建设投资有限公司公司债券募集说明书 
09许继债：公司债券募集说明书,2009-03-24,2009 年许继集团有限公司 公司债券募集说明书 发行人：许继集团有限公司 主承销商：华林证券有限责任公司 二〇〇九年 三 月 2 声明及提示 一、发行人董事会声明 发行人董事会已批准本期债券募集说明
09怀化债：公司债券募集说明书（摘要）,2009-02-17,2009 年怀化市城市建设投资有限公司 公司债券募集说明书摘要 发行人 怀化市城市建设投资有限公司 主承销商 恒泰证券股份有限公司 重要提示 本募集说明书摘要旨在向有意投资 2009 年怀化市城市建设
09渝水投：公司债券募集说明书,2009-02-06,2009 年重庆市水利投资（集团）有限公司公司债券募集说明书 声明 发行人董事会已批准本期债券募集说明书及其摘要，全体董事承 诺其中不存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准 确性、完整性
08东特债：公司债券募集说明书,2008-12-24,2008 年东北特殊钢集团有限责任公司 公司债券募集说明书 发 行 人： 东北特殊钢集团有限责任公司 主承销商： 2008 年 月 日 2008 年东北特殊钢集团有限责任公司公开发行公司债券募集说明书
金 融 街：公开发行2009年第一期公司债券募集说明书,2009-08-28,（住所：北京市西城区金融大街丙17号北京银行大厦11层） 公开发行2009年第一期公司债券募集说明书 （封卷稿） 保荐人（联席主承销商、簿记管理人） （住所：北京市朝阳区建国门外大街1号国贸大厦2座2
08甬交投：公司债券募集说明书,2008-07-21,2008 年宁波交通投资控股有限公司 公司债券募集说明书 发行人：宁波交通投资控股有限公司 主承销商：华林证券有限责任公司 二〇〇八年 七 月 债券名称： 2008 年宁波交通投资控股有限公司公司债券
08奈伦债：公司债券募集说明书,2008-05-20,2008年内蒙古奈伦集团股份有限公司公司债券募集说明书 I 重要声明及提示 一、发行人声明 发行人已批准本期债券募集说明书及其摘要，发行人领导成员承 诺其中不存在虚假记载、误导性陈述或重大遗漏，并对其
万  科Ａ：公开发行公司债券募集说明书（摘要）,2008-09-02,声 明 募集说明书的全部内容遵循《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行试点办法》及其它现行法律、法规的规定。发行人全体董事、监事及高 级管理人员承诺募集说明书及其摘要不存
万  科Ａ：公开发行公司债券募集说明书,2008-09-02,声 明 本募集说明书的全部内容遵循《中华人民共和国公司法》、《中华人民共和国证券 法》、《公司债券发行试点办法》及其它现行法律、法规的规定。发行人全体董事、监事 及高级管理人员承诺本募集说明书及其摘要
中粮地产：公开发行公司债券募集说明书,2008-08-21,股票简称：中粮地产 股票代码：000031 中粮地产（集团）股份有限公司 （住所：深圳市宝安区新城二区湖滨路） 公开发行公司债券募集说明书 保荐人（主承销商） 中国国际金融有限公司 （住所：北京市朝阳
柳    工：发行可转换公司债券募集说明书,2008-04-15,广西柳工机械股份有限公司 （注册地址：广西壮族自治区柳州市柳太路1号） 股票简称：柳 工 股票代码：000528 发行可转换公司债券募集说明书 保荐人（主承销商） 财务顾问 募集说明书公告时间：二〇〇
泰达股份：公开发行公司债券募集说明书,2008-08-08,"股票简称：泰达股份 股票代码：000652 天津泰达股份有限公司 Tianjin Teda Co.,Ltd （注册地址：天津开发区第三大街 16 号） 公开发行公司债券募集说明书 保荐人（主承销商） "
