奇精机械股份有限公司,奇精机械,,2018-12-12,116,2,209826,4727,23,37,55,是,奇精机械公开发行可转换公司债券募集说明书_603677_20181212_3.txt
南京滨江投资发展有限公司,,18滨江投资债,2018-12-12,53,5,113577,3664,27,29,52,是,2018年南京滨江投资发展有限公司公司债券募集说明书_3419341041157142.txt
公司,,18博望管廊债01,2018-12-10,63,3,96743,3280,21,23,36,是,2018年第一期马鞍山市博望区城市发展投资有限责任公司城市地下综合管廊建设专项债券募集说明书_3415043550895949.txt
临沂振东建设投资有限公司,,18临沂振东债01,2018-12-10,71,3,71679,3598,26,29,45,是,2018年第一期临沂振东建设投资有限公司公司债券募集说明书_3415889878978803.txt
桐乡市崇福皮草产业开发投资有限公司,,17桐乡产投债,2018-12-10,65,6,107974,4913,33,36,64,是,2018年桐乡市崇福皮草产业开发投资有限公司公司债券募集说明书_3414216326062528.txt
宜宾市南溪区财源国有资产经营有限责任公司,,18财源债02,2018-12-10,70,8,142240,4869,29,28,51,是,2018年第二期宜宾市南溪区财源国有资产经营有限责任公司公司债券募集说明书_3415905388301092.txt
伟明环保 股票代码公司,伟明环保,,2018-12-06,201,24,242505,10454,57,73,121,是,伟明环保公开发行A股可转换公司债券募集说明书_603568_20181206_4.txt
北京市基础设施投资有限公司,,品种一”、“18京投债09,2018-12-06,51,7,96433,3617,28,29,54,是,2018年第二期北京市基础设施投资有限公司公司债券募集说明书_3414166306045207.txt
北京市基础设施投资有限公司,,品种一”、“18京投债09,2018-12-06,51,7,96433,3617,28,29,54,是,2018年第二期北京市基础设施投资有限公司公司债券募集说明书_3414167252895919.txt
福能股份 股票代码公司,福能股份,,2018-12-05,118,6,283750,6997,36,42,82,是,福能股份公开发行可转换公司债券募集说明书_600483_20181205_5.txt
海宁市城市发展投资集团有限公司,,18海宁城投债,2018-12-05,81,4,115423,5141,34,40,59,是,2018年海宁市城市发展投资集团有限公司公司债券募集说明书_3413202086731523.txt
